2024-05-15 12:02:18,592 INFO    StreamThr :18176 [internal.py:wandb_internal():86] W&B internal server running at pid: 18176, started at: 2024-05-15 12:02:18.591382
2024-05-15 12:02:18,592 DEBUG   HandlerThread:18176 [handler.py:handle_request():146] handle_request: status
2024-05-15 12:02:18,593 INFO    WriterThread:18176 [datastore.py:open_for_write():87] open: /Users/zehiu/PycharmProjects/DeepLearning/dnd_music/wandb/run-20240515_120218-idlzcztb/run-idlzcztb.wandb
2024-05-15 12:02:18,594 DEBUG   SenderThread:18176 [sender.py:send():379] send: header
2024-05-15 12:02:18,614 DEBUG   SenderThread:18176 [sender.py:send():379] send: run
2024-05-15 12:02:19,120 INFO    SenderThread:18176 [dir_watcher.py:__init__():211] watching files in: /Users/zehiu/PycharmProjects/DeepLearning/dnd_music/wandb/run-20240515_120218-idlzcztb/files
2024-05-15 12:02:19,120 INFO    SenderThread:18176 [sender.py:_start_run_threads():1124] run started: idlzcztb with start time 1715767338.591893
2024-05-15 12:02:19,123 DEBUG   HandlerThread:18176 [handler.py:handle_request():146] handle_request: check_version
2024-05-15 12:02:19,123 DEBUG   SenderThread:18176 [sender.py:send_request():406] send_request: check_version
2024-05-15 12:02:19,305 DEBUG   HandlerThread:18176 [handler.py:handle_request():146] handle_request: run_start
2024-05-15 12:02:19,314 DEBUG   HandlerThread:18176 [system_info.py:__init__():26] System info init
2024-05-15 12:02:19,314 DEBUG   HandlerThread:18176 [system_info.py:__init__():41] System info init done
2024-05-15 12:02:19,314 INFO    HandlerThread:18176 [system_monitor.py:start():194] Starting system monitor
2024-05-15 12:02:19,314 INFO    SystemMonitor:18176 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-15 12:02:19,314 INFO    HandlerThread:18176 [system_monitor.py:probe():214] Collecting system info
2024-05-15 12:02:19,315 INFO    SystemMonitor:18176 [interfaces.py:start():190] Started cpu monitoring
2024-05-15 12:02:19,315 DEBUG   HandlerThread:18176 [system_info.py:probe():150] Probing system
2024-05-15 12:02:19,318 INFO    SystemMonitor:18176 [interfaces.py:start():190] Started disk monitoring
2024-05-15 12:02:19,318 INFO    SystemMonitor:18176 [interfaces.py:start():190] Started gpuapple monitoring
2024-05-15 12:02:19,320 INFO    SystemMonitor:18176 [interfaces.py:start():190] Started memory monitoring
2024-05-15 12:02:19,321 INFO    SystemMonitor:18176 [interfaces.py:start():190] Started network monitoring
2024-05-15 12:02:19,324 DEBUG   HandlerThread:18176 [system_info.py:_probe_git():135] Probing git
2024-05-15 12:02:19,348 DEBUG   HandlerThread:18176 [system_info.py:_probe_git():143] Probing git done
2024-05-15 12:02:19,348 DEBUG   HandlerThread:18176 [system_info.py:probe():198] Probing system done
